[2024-11-06 13:58:42] info: 	z2m: Logging to console, file (filename: log.log)
[2024-11-06 13:58:42] info: 	z2m: Starting Zigbee2MQTT version 1.41.0 (commit #cc31cea)
[2024-11-06 13:58:42] info: 	z2m: Starting zigbee-herdsman (2.1.7)
[2024-11-06 13:58:44] warning: 	zh:ezsp: 'ezsp' driver is deprecated and will only remain to provide support for older firmware (pre 7.4.x). Migration to 'ember' is recommended. If using Zigbee2MQTT see https://github.com/Koenkk/zigbee2mqtt/discussions/21462
[2024-11-06 13:58:48] error: 	zh:ezsp:ezsp: Failure to init network
[2024-11-06 13:58:48] info: 	zh:ezsp:driv: Form network
[2024-11-06 13:58:49] info: 	zh:controller: Wrote coordinator backup to '/app/data/coordinator_backup.json'
[2024-11-06 13:58:49] info: 	z2m: zigbee-herdsman started (reset)
[2024-11-06 13:58:49] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":"3 ","majorrel":"6","minorrel":"10","product":8,"revision":"6.10.3.0 build 297"},"type":"EZSP v8"}'
[2024-11-06 13:58:50] info: 	z2m: Currently 0 devices are joined.
[2024-11-06 13:58:50] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[2024-11-06 13:58:50] warning: 	z2m: Allowing new devices to join.
[2024-11-06 13:58:50] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[2024-11-06 13:58:50] info: 	z2m: Zigbee: allowing new devices to join.
[2024-11-06 13:58:50] info: 	z2m: Connecting to MQTT server at mqtt://mqtt
[2024-11-06 13:58:50] info: 	z2m: Connected to MQTT server
[2024-11-06 13:58:50] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2024-11-06 13:58:51] info: 	z2m: Started frontend on port 8080
[2024-11-06 13:58:51] info: 	z2m: Zigbee2MQTT started!
[2024-11-06 14:03:51] error: 	zh:ezsp:ezsp: Connection attempt 1 error: Error: Error: No such device or address, cannot open /dev/ttyUSB0
[2024-11-06 14:03:56] error: 	zh:ezsp:ezsp: Connection attempt 2 error: Error: Error: No such device or address, cannot open /dev/ttyUSB0
[2024-11-06 14:04:06] error: 	zh:ezsp:ezsp: Connection attempt 3 error: Error: Error: No such device or address, cannot open /dev/ttyUSB0
[2024-11-06 14:04:21] error: 	zh:ezsp:ezsp: Connection attempt 4 error: Error: Error: No such device or address, cannot open /dev/ttyUSB0
[2024-11-06 14:04:21] error: 	z2m: Adapter disconnected, stopping
[2024-11-06 14:04:21] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"offline"}'
[2024-11-06 14:04:21] info: 	z2m: Disconnecting from MQTT server
[2024-11-06 14:04:21] info: 	z2m: Stopping zigbee-herdsman...
[2024-11-06 14:04:21] info: 	z2m: Stopped zigbee-herdsman
[2024-11-06 14:04:21] info: 	z2m: Stopped Zigbee2MQTT
